2025 - Tender Sebutharga Summary,,,,,,,Awarded to Gaia,PO from dealer,Cancelled,,,,,
No ,Starting Date,Due Date,Institutions/University,Reference No,Bidding Title,SalesPerson,Product Brand,Product Model,Amount Value,Submitted Date,Submission Method,Success,Winning Company,Remark
25,"3 February, 2025","12 February, 2025",UM,K/K08/2024/12/1707,MCOOF G05.3 ISO 13485 SET UP FOR MEDICAL DEVICE PRODUCT,Hock Seng,,SET UP FOR MEDICAL DEVICE PRODUCT,"RM30,000.00","3 February, 2025",Online Bidding,Yes,,
26,"3 February, 2025","5 February, 2025",UKM ,NETSDP202502564,"MEMBEKAL, MENGHANTAR, MEMASANG DAN MENGUJI TAULIAH REFRIGERATED MICROCENTRIFUGE UNTUK MAKMAL ID SAINS BIOPERUBATAN ARAS 3 BLOK B , PERUNTUKAN 50% FSK1 & 50% FSK7- KELULUSAN MESYUARAT BAJET BIL.1/2025",Suzanna,Hettich,Refrigerated Centrifuge,"RM47,000.00","5 February, 2025",Online Bidding,No,,
27,"5 February, 2025","6 February, 2025",SIRIM,EQ-2025-0187,Troubleshooting for 1 unit of CO2 Incubator Brand Nuaire,Zul,Nuaire,CO2 Incubator,RM700.00,"5 February, 2025",Online Bidding,Yes,,
28,"24 January, 2025","7 February, 2025",UTAR,FSc/DAHS/2025/E00,RFQ Human Anatomy Model,Choi,Anatomy Warehouse,Anatomy model,"RM19,235.00","7 February, 2025",Email,,,
29,"27 January, 2025","11 February, 2025",AIMST,,Price Quotation Request for Biosafety Cabinet,Choi,Airtech,BSC,"RM62,000.00","7 February, 2025",Email,,,
30,"28 January, 2025","11 February, 2025",AIMST,,Price Quotation Request for Ice Flake Maker,Choi,Hoshizaki,FM-150KE/ FM-80KE,"RM22,700.00","10 February, 2025",Email,,,
31,"6 February, 2025","12 February, 2025",UKM ,NETSDP202503043,"JSK02 MEMBEKAL, MENGHANTAR DAN MENGUJILARI PERALATAN MAKMAL (MELTING POINT APPARATUS) MENGGUNAKAN PERUNTUKAN RMK12 RP5, JABATAN SAINS KIMIA, FST, UKM.",Gan Wan Han,Cole-Parmer,MP-200D,"RM13,360.00","10 February, 2025",Online Bidding,No,XOF SOLUTIONS SDN BHD,
32,"7 February, 2025","13 February, 2025",UKM ,NETSDP202503118,"PERKHIDMATAN MEMBEKAL, MENGHANTAR, MEMASANG DAN MENYELENGGARA UV LAMP UNTUK ALAT UV-VIS SPECTROMETER DI MAKMAL OPEL MENGGUNAKAN PERUNTUKAN DPG-2024-09 (PELULUS: PROF. MADYA DR. MUHAMAD RAMDZAN BUYONG)",Tung,Hitachi,Service and spare parts,"RM7,400.00","12 February, 2025",Online Bidding,No,HABLEM OIL & GAS (M) SDN BHD,
33,"7 February, 2025","14 February, 2025",UKM ,NETSDP202503101,"JFG05: MEMBEKAL, MENGHANTAR, MEMASANG DAN MENGUJILARI PERALATAN MAKMAL (BATTERY TESTER 5V100MA) MENGGUNAKAN PERUNTUKAN RMK12 (PDE119), JABATAN FIZIK GUNAAN, FST, UKM BANGI",Hock Seng,TOB,BATTERY TESTER 5V100MA,"RM14,500.00","12 February, 2025",Online Bidding,No,KINETIC TECHNICAL SERVICES SDN BHD,
34,"10 February, 2025","17 February, 2025",FGV HOLDINGS BERHAD,FGVRD/CP/PPM Safety Cabinet & Laminar Flow/S250309238,"Carry out work Preventive Maintenance of Biological Safety Cabinet & Laminar Air Flow Cabinet @ FGV R&D Sdn Bhd, FGVIC Benefical Microbes, Bandar Enstek,Negeri Sembilan",Zul,,PPM,"RM2,800.00","14 February, 2025",Online Bidding,Yes,,
35,"24 February, 2025","17 February, 2025",UTAR,FS/DCS/2025/C007,RFQ Molecular Biology Consumables,Choi,,consumables,"RM16,085.00","17 February, 2025",Email,,,
